qst_fight_king|Desafie {s13} para um Combate Singular
qst_move_cattle_herd|Leve o rebanho de gado a {s13}.
qst_escort_merchant_caravan|Escolte a caravana mercante até {s8}.
qst_deliver_wine|Entregue {reg5} unidades de {s6} em {s4}.
qst_troublesome_bandits|Cace os bandidos problemáticos.
qst_kidnapped_girl|Pague aos bandidos pelo resgate da donzela. 
qst_persuade_lords_to_make_peace|Certifique-se de que os dois Lordes não impeçam a paz.
qst_deal_with_looters|Cuide dos saqueadores.
qst_deal_with_night_bandits|Cuide dos bandidos noturnos.
qst_cheese_rustlers|Caçar e destruir os Ladrões de Queijo
qst_cheese_rustlers_text|{s9} de {s4} lhe pediu para caçar os ladrões de queijo nas proximidades da cidade.
qst_cheese_paladins|Caçar e destruir os Ladrões de Queijo
qst_cheese_paladins_text|{s9} de {s4} lhe pediu para caçar os ladrões de queijo nas proximidades da cidade.
qst_bar_brawl|Limpe a Cidade
qst_bar_brawl_text|{s9} de {s4} lhe pediu para lidar com os valentões nas proximidades da taverna.
qst_deliver_grain|Leve trigo a {s3}.
qst_deliver_cattle|Entregue {reg5} cabeças de gado em {s3}.
qst_train_peasants_against_bandits|Treine os camponeses de {s13} para se defenderem contra os bandidos.
qst_escort_scholars|Escolte os Estudiosos até {s8}
qst_escort_scholars_text|Escolte os Estudiosos até a cidade de {s8}.
qst_hunt_down_smugglers|Caçar e destruir os Contrabandistas
qst_hunt_down_smugglers_text|{s9} lhe pediu para trazer de volta os três grupos de contrabandistas para {s2}. Ele disse que todos os três grupos devem estar fugindo na direção de {s3}.
qst_hunt_down_girl|Caçar {s4}
qst_hunt_down_girl_text|{s9} lhe pediu para procurar por uma garota chamada {s4}. Acredita-se atualmente que ela esteja em {s3}.
qst_deliver_lumber|Leve tábuas para {s3}
qst_deliver_lumber_text|O ancião da aldeia de {s3} lhe pediu que trouxesse {reg5} fardos de tábuas para ele.
qst_kidnapped_wife|Resgate a Esposa do Moleiro
qst_kidnapped_wife_text|O Ancião da Aldeia de {s4} lhe pediu que pagasse o resgate pela esposa do moleiro. Você deve encontrar os bandidos perto de {s3} e pagar o preço do resgate. Depois disso, você deve trazer a mulher de volta para {s4}.
qst_eliminate_bandits_infesting_village|Liberte a aldeia de {s7} dos bandidos saqueadores.
qst_visit_lady|Visite uma dama.
qst_formal_marriage_proposal|Proposta formal de matrimônio.
qst_obtain_liege_blessing|Proposta formal de matrimônio.
qst_wed_betrothed|Case-se com sua prometida.
qst_wed_betrothed_female|Case-se com seu prometido.
qst_join_faction|Jure lealdade ao {s1}.
qst_rebel_against_kingdom|Ajude {s13} a reclamar o Trono do {s14}.
qst_consult_with_minister|Consulte-se com seu ministro.
qst_organize_feast|Organize um banquete.
qst_resolve_dispute|Resolva uma disputa.
qst_offer_gift|Adquira presentes.
qst_denounce_lord|Denuncie um Lorde.
qst_intrigue_against_lord|Conspire contra um Lorde.
qst_track_down_bandits|Localize os bandidos.
qst_track_down_provocateurs|Localize os desordeiros.
qst_retaliate_for_border_incident|Tome represálias por um incidente fronteiriço.
qst_raid_caravan_to_start_war|Ataque uma caravana neutra para provocar a guerra.
qst_cause_provocation|Organize uma provocação contra um reino para que ele ataque outro.
qst_rescue_prisoner|Resgate um prisioneiro.
qst_destroy_bandit_lair|Destrua a guarida dos bandidos.
qst_collect_men|Reúna cinco homens.
qst_learn_where_merchant_brother_is|Descubra onde os reféns estão sendo mantidos.
qst_save_relative_of_merchant|Ataque a guarida dos saqueadores.
qst_save_town_from_bandits|Salve a cidade dos bandidos.
qst_freelancer_enlisted|Alistado nas Tropas do {s13}
qst_freelancer_vacation|Alistado: sob dispensa.
qst_freelancer_captured|Alistado: capturado.
qst_freelancer_revolt|Alistado: revoltando-se.
qst_freelancer_end|Fim das missões do Freelancer.
qst_floris_active_tournament|Participe do torneio em {s13}.
qst_quests_end|Fim das missões.
